"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g15678.t1"	269	518	169	54	54	348	142	204	92	229	171	209
"g5825.t1"	195	399	168	63	16	178	165	97	65	153	63	158
"g15789.t1"	59	56	33	51	9	18	85	22	92	88	0	36
"g19658.t1"	102	83	29	74	49	23	120	49	64	124	43	54
"g7997.t1"	0	0	0	0	0	0	3	0	3	0	0	0
"g15745.t1"	46	162	93	6	11	33	244	181	45	175	86	158
"g6051.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g10418.t1"	8197	4357	5260	12886	5980	6641	13341	10596	10015	7411	8938	6487
"g20806.t1"	260	370	142	120	41	129	349	313	193	354	188	336
"g21991.t1"	0	0	0	2	0	0	0	0	0	0	0	0
"g19797.t2"	0	0	0	6	0	0	0	0	0	0	0	0
"g19797.t1"	0	0	0	0	0	0	0	2	2	0	0	0
"g7563.t1"	9	44	24	167	11	115	145	17	141	0	99	621
"g7919.t1"	130	374	177	165	153	234	207	112	118	187	35	142
"g9288.t1"	5091	2973	3330	3264	7305	5465	678	475	408	252	540	509
"g1362.t1"	76	25	93	0	43	10	226	134	34	149	415	140
"g8724.t1"	5	39	7	0	0	0	0	0	0	0	0	11
"g666.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g23579.t1"	58	107	29	12	8	24	58	43	9	28	0	16
"g21993.t1"	3	0	0	0	0	0	0	0	0	7	0	1
"g5328.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g11199.t1"	616	1010	717	1032	957	858	1173	833	833	679	1344	1076
"g23153.t1"	0	0	1	0	0	0	2	0	0	0	0	0
"g11375.t1"	0	40	31	8	0	37	31	0	0	0	0	24
"g1360.t1"	114	102	150	41	32	64	447	315	164	384	321	189
"g8726.t1"	10	41	6	26	5	3	36	37	32	56	70	18
"g2668.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g22894.t1"	0	14	0	0	0	0	0	0	7	0	0	0
"g13655.t1"	22	20	93	2	0	0	5	4	0	0	4	0
"g13618.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g14925.t1"	183	284	146	9	16	130	42	103	59	51	41	80
"g1937.t1"	114	0	0	25	25	0	0	1	10	0	0	0
"g3132.t1"	11	0	0	2	0	10	35	14	0	0	0	45
"g8445.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7098.t1"	0	0	0	0	4	0	0	0	0	0	0	0
"g767.t1"	115	75	72	70	10	127	230	142	82	140	148	140
"g3275.t1"	13	35	18	0	0	8	159	73	86	29	3	21
"g8564.t1"	515	612	551	527	226	412	980	709	801	909	777	797
"g19221.t1"	141	128	153	137	40	68	535	390	322	417	489	300
"g22896.t1"	4	35	12	0	0	0	14	4	0	0	0	0
"g1440.t1"	33	274	159	0	5	332	0	26	51	0	0	0
"g18903.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g7894.t1"	65	83	0	12	0	9	4	19	19	16	14	0
"g7732.t1"	8	0	5	0	0	0	78	50	4	11	0	0
"g22404.t1"	28	30	460	2	20	529	4	16	19	7	6	25
"g3349.t1"	442	947	1138	91	18	772	615	37	47	101	106	2098
"g10650.t1"	4	27	0	9	0	8	0	0	3	4	0	0
"g12461.t1"	8607	4299	6539	14654	12224	10734	7417	8761	8909	7117	9026	8261
"g21323.t1"	17	14	4	33	5	18	15	30	7	57	4	18
"g21323.t2"	14	3	5	21	9	10	17	25	6	13	15	7
"g21018.t2"	0	0	0	70	0	0	0	0	0	0	0	0
"g18901.t1"	0	0	0	3	0	0	0	0	0	0	0	0
"g21018.t1"	72	243	99	7	5	69	32	0	11	1	0	25
"g19373.t1"	0	0	0	2	0	0	0	0	0	0	0	0
"g5770.t1"	1445	1438	1897	314	1220	3115	171	155	120	187	94	520
"g20184.t1"	0	10	17	0	6	14	15	0	14	10	59	0
"g16542.t1"	0	0	1	0	0	0	0	0	0	0	0	0
"g21321.t1"	4	0	0	6	0	0	0	0	0	4	0	0
"g19371.t1"	41	79	134	56	7	89	108	81	87	55	0	46
"g23589.t1"	0	0	2	0	0	0	0	0	0	0	0	0
"g1935.t1"	25	393	242	445	719	57	229	228	130	171	121	193
"g8447.t1"	479	722	1074	225	264	1536	221	107	195	213	305	342
"g15560.t1"	264	1	7	11	46	2	61	182	44	0	22	43
"g18669.t1"	79	40	51	0	6	20	59	0	14	11	0	10
"g5448.t1"	0	0	0	0	7	0	0	0	0	0	0	0
"g19788.t1"	72	2	0	0	0	1	2	2	0	19	7	3
"g19000.t1"	339	401	251	80	248	158	462	323	127	719	702	139
